"","Trait","AccessionName","AccessionNumber","variable","value"
"9113","RK","LA0532","Y23","rep5",0.849378265
"9114","LNa","LA0532","Y23","rep5",32.39706253
"9115","LK","LA0532","Y23","rep5",0.262022918
"9116","LeafSucculence","LA0532","Y23","rep5",1.102064582
"9117","LeafPerimeter","LA0532","Y23","rep5",0.215583851
"9118","LeafVertLength","LA0532","Y23","rep5",NA
"9119","LeafHorizWidth","LA0532","Y23","rep5",0.469273468
"9120","LeafElongationFactor","LA0532","Y23","rep5",1.138082674
"9121","DG","LA0746","Y24","rep5",3
"9122","DL4","LA0746","Y24","rep5",12
"9123","DH","LA0746","Y24","rep5",11
"9124","LN","LA0746","Y24","rep5",0.666666667
"9125","RL","LA0746","Y24","rep5",1.428571429
"9126","SL","LA0746","Y24","rep5",0.208333333
"9127","ST","LA0746","Y24","rep5",0.430379747
"9128","RFM","LA0746","Y24","rep5",0.106948103
"9129","SFM","LA0746","Y24","rep5",0.150176
"9130","TFM","LA0746","Y24","rep5",0.140522091
"9131","RDM","LA0746","Y24","rep5",0.173913043
"9132","SDM","LA0746","Y24","rep5",0.313117345
"9133","TDM","LA0746","Y24","rep5",NA
"9134","WC","LA0746","Y24","rep5",0.13049414
"9135","WCn","LA0746","Y24","rep5",NA
"9136","GPI","LA0746","Y24","rep5",1.248450229
"9137","GPF","LA0746","Y24","rep5",0.267008456
"9138","dGP","LA0746","Y24","rep5",0.069780557
"9139","L4FM","LA0746","Y24","rep5",NA
"9140","L4DM","LA0746","Y24","rep5",NA
"9141","L4A","LA0746","Y24","rep5",0.309056162
"9142","RNa","LA0746","Y24","rep5",15.89704654
"9143","RK","LA0746","Y24","rep5",0.937688856
"9144","LNa","LA0746","Y24","rep5",15.7345431
"9145","LK","LA0746","Y24","rep5",NA
"9146","LeafSucculence","LA0746","Y24","rep5",NA
"9147","LeafPerimeter","LA0746","Y24","rep5",0.356946696
"9148","LeafVertLength","LA0746","Y24","rep5",0.451899052
"9149","LeafHorizWidth","LA0746","Y24","rep5",0.448024444
"9150","LeafElongationFactor","LA0746","Y24","rep5",0.991393051
"9151","DG","LA0747","Y25","rep5",5
"9152","DL4","LA0747","Y25","rep5",13
"9153","DH","LA0747","Y25","rep5",11
"9154","LN","LA0747","Y25","rep5",0.333333333
"9155","RL","LA0747","Y25","rep5",0.378947368
"9156","SL","LA0747","Y25","rep5",0
"9157","ST","LA0747","Y25","rep5",0.352201258
"9158","RFM","LA0747","Y25","rep5",0.492798947
"9159","SFM","LA0747","Y25","rep5",0.188225395
"9160","TFM","LA0747","Y25","rep5",0.215972649
"9161","RDM","LA0747","Y25","rep5",0.589181287
"9162","SDM","LA0747","Y25","rep5",0.184187663
"9163","TDM","LA0747","Y25","rep5",0.240454076
"9164","WC","LA0747","Y25","rep5",0.214461974
"9165","WCn","LA0747","Y25","rep5",-0.240487735
"9166","GPI","LA0747","Y25","rep5",0.871690207
"9167","GPF","LA0747","Y25","rep5",0.408101154
"9168","dGP","LA0747","Y25","rep5",0.323609348
"9169","L4FM","LA0747","Y25","rep5",0.363211224
"9170","L4DM","LA0747","Y25","rep5",0.305407464
"9171","L4A","LA0747","Y25","rep5",0.343149393
"9172","RNa","LA0747","Y25","rep5",19.75521577
"9173","RK","LA0747","Y25","rep5",1.665397672
"9174","LNa","LA0747","Y25","rep5",26.48960788
"9175","LK","LA0747","Y25","rep5",0.218811502
"9176","LeafSucculence","LA0747","Y25","rep5",1.07285768
"9177","LeafPerimeter","LA0747","Y25","rep5",NA
"9178","LeafVertLength","LA0747","Y25","rep5",0.50436746
"9179","LeafHorizWidth","LA0747","Y25","rep5",0.551325614
"9180","LeafElongationFactor","LA0747","Y25","rep5",1.093035343
"9181","DG","LA0748","Y26","rep5",3
"9182","DL4","LA0748","Y26","rep5",12
"9183","DH","LA0748","Y26","rep5",11
"9184","LN","LA0748","Y26","rep5",0.666666667
"9185","RL","LA0748","Y26","rep5",0.533333333
"9186","SL","LA0748","Y26","rep5",0.586206897
"9187","ST","LA0748","Y26","rep5",0.577586207
"9188","RFM","LA0748","Y26","rep5",0.221549259
"9189","SFM","LA0748","Y26","rep5",0.21511546
"9190","TFM","LA0748","Y26","rep5",0.216225183
"9191","RDM","LA0748","Y26","rep5",0.299459459
"9192","SDM","LA0748","Y26","rep5",0.220237459
"9193","TDM","LA0748","Y26","rep5",0.213139746
"9194","WC","LA0748","Y26","rep5",0.216428288
"9195","WCn","LA0748","Y26","rep5",1.05176289
"9196","GPI","LA0748","Y26","rep5",1.307234065
"9197","GPF","LA0748","Y26","rep5",0.425652834
"9198","dGP","LA0748","Y26","rep5",0.319105859
"9199","L4FM","LA0748","Y26","rep5",0.128089243
"9200","L4DM","LA0748","Y26","rep5",0.125388199
"9201","L4A","LA0748","Y26","rep5",0.161518315
"9202","RNa","LA0748","Y26","rep5",18.34777653
"9203","RK","LA0748","Y26","rep5",0.826234174
"9204","LNa","LA0748","Y26","rep5",NA
"9205","LK","LA0748","Y26","rep5",0.534238218
"9206","LeafSucculence","LA0748","Y26","rep5",0.794734797
"9207","LeafPerimeter","LA0748","Y26","rep5",0.15980651
"9208","LeafVertLength","LA0748","Y26","rep5",0.348917279
"9209","LeafHorizWidth","LA0748","Y26","rep5",0.359367249
"9210","LeafElongationFactor","LA0748","Y26","rep5",1.029981378
"9211","DG","LA0749","Y27","rep5",3
"9212","DL4","LA0749","Y27","rep5",13
"9213","DH","LA0749","Y27","rep5",11
"9214","LN","LA0749","Y27","rep5",0.5
"9215","RL","LA0749","Y27","rep5",1.774193548
"9216","SL","LA0749","Y27","rep5",0.6
"9217","ST","LA0749","Y27","rep5",0.392156863
"9218","RFM","LA0749","Y27","rep5",0.193140927
"9219","SFM","LA0749","Y27","rep5",0.110209168
"9220","TFM","LA0749","Y27","rep5",0.121206809
"9221","RDM","LA0749","Y27","rep5",0.317002882
"9222","SDM","LA0749","Y27","rep5",0.361640972
"9223","TDM","LA0749","Y27","rep5",0.327677806
"9224","WC","LA0749","Y27","rep5",0.108767256
"9225","WCn","LA0749","Y27","rep5",-4.708504403
"9226","GPI","LA0749","Y27","rep5",1.222351421
"9227","GPF","LA0749","Y27","rep5",0.117394736
"9228","dGP","LA0749","Y27","rep5",-0.009420802
"9229","L4FM","LA0749","Y27","rep5",0.143947131
"9230","L4DM","LA0749","Y27","rep5",0.234398782
"9231","L4A","LA0749","Y27","rep5",0.1657623
"9232","RNa","LA0749","Y27","rep5",NA
"9233","RK","LA0749","Y27","rep5",0.709233489
"9234","LNa","LA0749","Y27","rep5",33.24119645
"9235","LK","LA0749","Y27","rep5",0.963416202
"9236","LeafSucculence","LA0749","Y27","rep5",0.821626136
"9237","LeafPerimeter","LA0749","Y27","rep5",0.246796282
"9238","LeafVertLength","LA0749","Y27","rep5",0.416468737
"9239","LeafHorizWidth","LA0749","Y27","rep5",0.385117394
"9240","LeafElongationFactor","LA0749","Y27","rep5",0.924734043
"9241","DG","LA0927","Y28","rep5",6
"9242","DL4","LA0927","Y28","rep5",14
"9243","DH","LA0927","Y28","rep5",11
"9244","LN","LA0927","Y28","rep5",0.666666667
"9245","RL","LA0927","Y28","rep5",0.237113402
"9246","SL","LA0927","Y28","rep5",0.043478261
"9247","ST","LA0927","Y28","rep5",0.297101449
"9248","RFM","LA0927","Y28","rep5",0.053883965
"9249","SFM","LA0927","Y28","rep5",0.196287863
"9250","TFM","LA0927","Y28","rep5",0.169588561
"9251","RDM","LA0927","Y28","rep5",0.20641804
"9252","SDM","LA0927","Y28","rep5",0.249833666
"9253","TDM","LA0927","Y28","rep5",0.236388385
"9254","WC","LA0927","Y28","rep5",0.165207234
"9255","WCn","LA0927","Y28","rep5",-31.28098346
"9256","GPI","LA0927","Y28","rep5",1.162985305
"9257","GPF","LA0927","Y28","rep5",0.305243144
"9258","dGP","LA0927","Y28","rep5",0.152240709
"9259","L4FM","LA0927","Y28","rep5",0.165398903
"9260","L4DM","LA0927","Y28","rep5",0.208358571
"9261","L4A","LA0927","Y28","rep5",0.224827916
"9262","RNa","LA0927","Y28","rep5",22.18268616
"9263","RK","LA0927","Y28","rep5",0.877100262
"9264","LNa","LA0927","Y28","rep5",29.55452519
"9265","LK","LA0927","Y28","rep5",0.663385749
"9266","LeafSucculence","LA0927","Y28","rep5",0.715060724
"9267","LeafPerimeter","LA0927","Y28","rep5",0.363164485
"9268","LeafVertLength","LA0927","Y28","rep5",0.471046567
"9269","LeafHorizWidth","LA0927","Y28","rep5",0.504990527
"9270","LeafElongationFactor","LA0927","Y28","rep5",1.071905496
"9271","DG","LA0929","Y29","rep5",6
"9272","DL4","LA0929","Y29","rep5",16
"9273","DH","LA0929","Y29","rep5",11
"9274","LN","LA0929","Y29","rep5",NA
"9275","RL","LA0929","Y29","rep5",0.772727273
"9276","SL","LA0929","Y29","rep5",0.523809524
"9277","ST","LA0929","Y29","rep5",0.057142857
"9278","RFM","LA0929","Y29","rep5",0.244433134
"9279","SFM","LA0929","Y29","rep5",0.189454221
"9280","TFM","LA0929","Y29","rep5",0.197171024
"9281","RDM","LA0929","Y29","rep5",0.157142857
"9282","SDM","LA0929","Y29","rep5",0.261423221
"9283","TDM","LA0929","Y29","rep5",0.238196286
"9284","WC","LA0929","Y29","rep5",0.194209337
"9285","WCn","LA0929","Y29","rep5",2.28683978
"9286","GPI","LA0929","Y29","rep5",1.308780979
"9287","GPF","LA0929","Y29","rep5",0.273237198
"9288","dGP","LA0929","Y29","rep5",0.140739466
"9289","L4FM","LA0929","Y29","rep5",0.140289081
"9290","L4DM","LA0929","Y29","rep5",0.193333333
"9291","L4A","LA0929","Y29","rep5",0.209978016
"9292","RNa","LA0929","Y29","rep5",NA
"9293","RK","LA0929","Y29","rep5",0.800702663
"9294","LNa","LA0929","Y29","rep5",27.11661386
"9295","LK","LA0929","Y29","rep5",NA
"9296","LeafSucculence","LA0929","Y29","rep5",NA
"9297","LeafPerimeter","LA0929","Y29","rep5",0.328697963
"9298","LeafVertLength","LA0929","Y29","rep5",0.395215937
"9299","LeafHorizWidth","LA0929","Y29","rep5",0.442845544
"9300","LeafElongationFactor","LA0929","Y29","rep5",1.12056962
"9301","DG","LA0930","Y30","rep5",4
"9302","DL4","LA0930","Y30","rep5",23
"9303","DH","LA0930","Y30","rep5",11
"9304","LN","LA0930","Y30","rep5",NA
"9305","RL","LA0930","Y30","rep5",NA
"9306","SL","LA0930","Y30","rep5",NA
"9307","ST","LA0930","Y30","rep5",NA
"9308","RFM","LA0930","Y30","rep5",NA
"9309","SFM","LA0930","Y30","rep5",NA
"9310","TFM","LA0930","Y30","rep5",NA
"9311","RDM","LA0930","Y30","rep5",NA
"9312","SDM","LA0930","Y30","rep5",NA
"9313","TDM","LA0930","Y30","rep5",NA
"9314","WC","LA0930","Y30","rep5",NA
"9315","WCn","LA0930","Y30","rep5",NA
"9316","GPI","LA0930","Y30","rep5",1.043585389
"9317","GPF","LA0930","Y30","rep5",0.135983197
"9318","dGP","LA0930","Y30","rep5",-0.098262934
"9319","L4FM","LA0930","Y30","rep5",NA
"9320","L4DM","LA0930","Y30","rep5",NA
"9321","L4A","LA0930","Y30","rep5",NA
"9322","RNa","LA0930","Y30","rep5",NA
"9323","RK","LA0930","Y30","rep5",NA
"9324","LNa","LA0930","Y30","rep5",NA
"9325","LK","LA0930","Y30","rep5",NA
"9326","LeafSucculence","LA0930","Y30","rep5",NA
"9327","LeafPerimeter","LA0930","Y30","rep5",NA
"9328","LeafVertLength","LA0930","Y30","rep5",NA
"9329","LeafHorizWidth","LA0930","Y30","rep5",NA
"9330","LeafElongationFactor","LA0930","Y30","rep5",NA
"9331","DG","LA0932","Y31","rep5",3
"9332","DL4","LA0932","Y31","rep5",14
"9333","DH","LA0932","Y31","rep5",11
"9334","LN","LA0932","Y31","rep5",0.25
"9335","RL","LA0932","Y31","rep5",0.220588235
"9336","SL","LA0932","Y31","rep5",0.196078431
"9337","ST","LA0932","Y31","rep5",0.392857143
"9338","RFM","LA0932","Y31","rep5",0.095392574
"9339","SFM","LA0932","Y31","rep5",0.048251082
"9340","TFM","LA0932","Y31","rep5",0.054745297
"9341","RDM","LA0932","Y31","rep5",0.154455446
"9342","SDM","LA0932","Y31","rep5",0.122819663
"9343","TDM","LA0932","Y31","rep5",0.135930048
"9344","WC","LA0932","Y31","rep5",0.049491709
"9345","WCn","LA0932","Y31","rep5",-10.33696404
"9346","GPI","LA0932","Y31","rep5",1.311237254
"9347","GPF","LA0932","Y31","rep5",0.080404231
"9348","dGP","LA0932","Y31","rep5",-0.052758039
"9349","L4FM","LA0932","Y31","rep5",0.168451801
"9350","L4DM","LA0932","Y31","rep5",0.17005196
"9351","L4A","LA0932","Y31","rep5",0.140315906
"9352","RNa","LA0932","Y31","rep5",22.27434604
"9353","RK","LA0932","Y31","rep5",0.873968493
"9354","LNa","LA0932","Y31","rep5",53.78454243
"9355","LK","LA0932","Y31","rep5",0.522743164
"9356","LeafSucculence","LA0932","Y31","rep5",1.199493416
"9357","LeafPerimeter","LA0932","Y31","rep5",0.198268581
"9358","LeafVertLength","LA0932","Y31","rep5",0.277674501
"9359","LeafHorizWidth","LA0932","Y31","rep5",0.30908605
"9360","LeafElongationFactor","LA0932","Y31","rep5",1.113226969
"9361","DG","LA1035","Y32","rep5",3
"9362","DL4","LA1035","Y32","rep5",12
"9363","DH","LA1035","Y32","rep5",11
"9364","LN","LA1035","Y32","rep5",0.333333333
"9365","RL","LA1035","Y32","rep5",0.433962264
"9366","SL","LA1035","Y32","rep5",0.145454545
"9367","ST","LA1035","Y32","rep5",0.16
"9368","RFM","LA1035","Y32","rep5",0.072966397
"9369","SFM","LA1035","Y32","rep5",0.103344842
"9370","TFM","LA1035","Y32","rep5",0.098308166
"9371","RDM","LA1035","Y32","rep5",0.25
"9372","SDM","LA1035","Y32","rep5",0.228120301
"9373","TDM","LA1035","Y32","rep5",0.206474012
"9374","WC","LA1035","Y32","rep5",0.092614095
"9375","WCn","LA1035","Y32","rep5",-2.849567787
"9376","GPI","LA1035","Y32","rep5",1.166386113
"9377","GPF","LA1035","Y32","rep5",0.225515365
"9378","dGP","LA1035","Y32","rep5",0.124146566
"9379","L4FM","LA1035","Y32","rep5",0.062233188
"9380","L4DM","LA1035","Y32","rep5",0.114959115
"9381","L4A","LA1035","Y32","rep5",0.076265187
"9382","RNa","LA1035","Y32","rep5",21.50013926
"9383","RK","LA1035","Y32","rep5",1.532865484
"9384","LNa","LA1035","Y32","rep5",39.73790056
"9385","LK","LA1035","Y32","rep5",1.189226258
"9386","LeafSucculence","LA1035","Y32","rep5",0.754728083
"9387","LeafPerimeter","LA1035","Y32","rep5",0.165774313
"9388","LeafVertLength","LA1035","Y32","rep5",0.234730232
"9389","LeafHorizWidth","LA1035","Y32","rep5",0.224633256
"9390","LeafElongationFactor","LA1035","Y32","rep5",0.956950673
"9391","DG","LA1037","Y34","rep5",3
"9392","DL4","LA1037","Y34","rep5",14
"9393","DH","LA1037","Y34","rep5",11
"9394","LN","LA1037","Y34","rep5",0.666666667
"9395","RL","LA1037","Y34","rep5",0.32
"9396","SL","LA1037","Y34","rep5",0.295454545
"9397","ST","LA1037","Y34","rep5",0.331288344
"9398","RFM","LA1037","Y34","rep5",0.157723388
"9399","SFM","LA1037","Y34","rep5",0.157115646
"9400","TFM","LA1037","Y34","rep5",0.157211486
"9401","RDM","LA1037","Y34","rep5",0.314837905
"9402","SDM","LA1037","Y34","rep5",0.26820098
"9403","TDM","LA1037","Y34","rep5",0.280053463
"9404","WC","LA1037","Y34","rep5",0.149605954
"9405","WCn","LA1037","Y34","rep5",-11.68389244
"9406","GPI","LA1037","Y34","rep5",0.946076028
"9407","GPF","LA1037","Y34","rep5",0.333663027
"9408","dGP","LA1037","Y34","rep5",0.206394451
"9409","L4FM","LA1037","Y34","rep5",0.244427597
"9410","L4DM","LA1037","Y34","rep5",0.300684346
"9411","L4A","LA1037","Y34","rep5",0.290167788
"9412","RNa","LA1037","Y34","rep5",17.37635488
"9413","RK","LA1037","Y34","rep5",0.956181444
"9414","LNa","LA1037","Y34","rep5",21.37080512
"9415","LK","LA1037","Y34","rep5",0.861534567
"9416","LeafSucculence","LA1037","Y34","rep5",0.823512586
"9417","LeafPerimeter","LA1037","Y34","rep5",0.323001174
"9418","LeafVertLength","LA1037","Y34","rep5",0.417741305
"9419","LeafHorizWidth","LA1037","Y34","rep5",0.530899062
"9420","LeafElongationFactor","LA1037","Y34","rep5",1.271010224
"9421","DG","LA1039","Y35","rep5",5
"9422","DL4","LA1039","Y35","rep5",12
"9423","DH","LA1039","Y35","rep5",11
"9424","LN","LA1039","Y35","rep5",0.666666667
"9425","RL","LA1039","Y35","rep5",NA
"9426","SL","LA1039","Y35","rep5",0.5625
"9427","ST","LA1039","Y35","rep5",0.622516556
"9428","RFM","LA1039","Y35","rep5",0.38811331
"9429","SFM","LA1039","Y35","rep5",0.407429655
"9430","TFM","LA1039","Y35","rep5",0.405258628
"9431","RDM","LA1039","Y35","rep5",0.662011173
"9432","SDM","LA1039","Y35","rep5",0.491841492
"9433","TDM","LA1039","Y35","rep5",0.490677966
"9434","WC","LA1039","Y35","rep5",0.39952369
"9435","WCn","LA1039","Y35","rep5",NA
"9436","GPI","LA1039","Y35","rep5",1.285576482
"9437","GPF","LA1039","Y35","rep5",0.644039404
"9438","dGP","LA1039","Y35","rep5",0.55496116
"9439","L4FM","LA1039","Y35","rep5",0.520073957
"9440","L4DM","LA1039","Y35","rep5",0.406371912
"9441","L4A","LA1039","Y35","rep5",0.409021787
"9442","RNa","LA1039","Y35","rep5",20.59894418
"9443","RK","LA1039","Y35","rep5",1.130471316
"9444","LNa","LA1039","Y35","rep5",35.74627379
"9445","LK","LA1039","Y35","rep5",0.434420043
"9446","LeafSucculence","LA1039","Y35","rep5",NA
"9447","LeafPerimeter","LA1039","Y35","rep5",0.407085642
"9448","LeafVertLength","LA1039","Y35","rep5",0.509769976
"9449","LeafHorizWidth","LA1039","Y35","rep5",0.590366566
"9450","LeafElongationFactor","LA1039","Y35","rep5",1.158023934
"9451","DG","LA1040","Y36","rep5",3
"9452","DL4","LA1040","Y36","rep5",10
"9453","DH","LA1040","Y36","rep5",11
"9454","LN","LA1040","Y36","rep5",0.75
"9455","RL","LA1040","Y36","rep5",0.414893617
"9456","SL","LA1040","Y36","rep5",0.350649351
"9457","ST","LA1040","Y36","rep5",0.443983402
"9458","RFM","LA1040","Y36","rep5",0.189528951
"9459","SFM","LA1040","Y36","rep5",NA
"9460","TFM","LA1040","Y36","rep5",0.174844055
"9461","RDM","LA1040","Y36","rep5",0.266580811
"9462","SDM","LA1040","Y36","rep5",0.223704076
"9463","TDM","LA1040","Y36","rep5",0.223219733
"9464","WC","LA1040","Y36","rep5",0.172387696
"9465","WCn","LA1040","Y36","rep5",-0.584117026
"9466","GPI","LA1040","Y36","rep5",NA
"9467","GPF","LA1040","Y36","rep5",0.30751977
"9468","dGP","LA1040","Y36","rep5",0.268934414
"9469","L4FM","LA1040","Y36","rep5",0.17008872
"9470","L4DM","LA1040","Y36","rep5",0.187119675
"9471","L4A","LA1040","Y36","rep5",0.190036979
"9472","RNa","LA1040","Y36","rep5",11.05601949
"9473","RK","LA1040","Y36","rep5",1.089081252
"9474","LNa","LA1040","Y36","rep5",21.04184902
"9475","LK","LA1040","Y36","rep5",0.495537725
"9476","LeafSucculence","LA1040","Y36","rep5",0.888137691
"9477","LeafPerimeter","LA1040","Y36","rep5",0.221063093
"9478","LeafVertLength","LA1040","Y36","rep5",0.364975434
"9479","LeafHorizWidth","LA1040","Y36","rep5",0.419936733
"9480","LeafElongationFactor","LA1040","Y36","rep5",1.150606254
"9481","DG","LA1041","Y37","rep5",8
"9482","DL4","LA1041","Y37","rep5",19
"9483","DH","LA1041","Y37","rep5",11
"9484","LN","LA1041","Y37","rep5",0.5
"9485","RL","LA1041","Y37","rep5",0.475728155
"9486","SL","LA1041","Y37","rep5",0.408163265
"9487","ST","LA1041","Y37","rep5",0.382352941
"9488","RFM","LA1041","Y37","rep5",0.283023938
"9489","SFM","LA1041","Y37","rep5",0.271978157
"9490","TFM","LA1041","Y37","rep5",0.274095383
"9491","RDM","LA1041","Y37","rep5",0.49767682
"9492","SDM","LA1041","Y37","rep5",0.330514049
"9493","TDM","LA1041","Y37","rep5",0.355953075
"9494","WC","LA1041","Y37","rep5",0.268765062
"9495","WCn","LA1041","Y37","rep5",NA
"9496","GPI","LA1041","Y37","rep5",1.159344518
"9497","GPF","LA1041","Y37","rep5",0.431678877
"9498","dGP","LA1041","Y37","rep5",0.330523986
"9499","L4FM","LA1041","Y37","rep5",0.29429953
"9500","L4DM","LA1041","Y37","rep5",0.354612417
"9501","L4A","LA1041","Y37","rep5",0.286353174
"9502","RNa","LA1041","Y37","rep5",17.93670574
"9503","RK","LA1041","Y37","rep5",1.201895145
"9504","LNa","LA1041","Y37","rep5",11.74108314
"9505","LK","LA1041","Y37","rep5",0.503728605
"9506","LeafSucculence","LA1041","Y37","rep5",1.005953846
"9507","LeafPerimeter","LA1041","Y37","rep5",0.372976351
"9508","LeafVertLength","LA1041","Y37","rep5",0.420469313
"9509","LeafHorizWidth","LA1041","Y37","rep5",0.42510457
"9510","LeafElongationFactor","LA1041","Y37","rep5",1.010931559
"9511","DG","LA1042","Y38","rep5",5
"9512","DL4","LA1042","Y38","rep5",13
"9513","DH","LA1042","Y38","rep5",11
"9514","LN","LA1042","Y38","rep5",0.5
"9515","RL","LA1042","Y38","rep5",0.371621622
"9516","SL","LA1042","Y38","rep5",0.107142857
"9517","ST","LA1042","Y38","rep5",0.182608696
"9518","RFM","LA1042","Y38","rep5",0.120593902
"9519","SFM","LA1042","Y38","rep5",0.112481411
"9520","TFM","LA1042","Y38","rep5",0.11376201
"9521","RDM","LA1042","Y38","rep5",0.310218978
"9522","SDM","LA1042","Y38","rep5",0.146251442
"9523","TDM","LA1042","Y38","rep5",0.163514147
"9524","WC","LA1042","Y38","rep5",0.110742108
"9525","WCn","LA1042","Y38","rep5",-1.831277362
"9526","GPI","LA1042","Y38","rep5",1.013218112
"9527","GPF","LA1042","Y38","rep5",0.12990789
"9528","dGP","LA1042","Y38","rep5",0.002584627
"9529","L4FM","LA1042","Y38","rep5",0.078227972
"9530","L4DM","LA1042","Y38","rep5",0.126612903
"9531","L4A","LA1042","Y38","rep5",0.061317364
"9532","RNa","LA1042","Y38","rep5",21.78022895
"9533","RK","LA1042","Y38","rep5",0.831934107
"9534","LNa","LA1042","Y38","rep5",37.12109276
"9535","LK","LA1042","Y38","rep5",1.214011756
"9536","LeafSucculence","LA1042","Y38","rep5",1.211194113
"9537","LeafPerimeter","LA1042","Y38","rep5",0.165125401
"9538","LeafVertLength","LA1042","Y38","rep5",0.225807769
"9539","LeafHorizWidth","LA1042","Y38","rep5",0.236253282
"9540","LeafElongationFactor","LA1042","Y38","rep5",1.046254891
"9541","DG","LA1043","Y39","rep5",5
"9542","DL4","LA1043","Y39","rep5",13
"9543","DH","LA1043","Y39","rep5",11
"9544","LN","LA1043","Y39","rep5",0.5
"9545","RL","LA1043","Y39","rep5",0.566666667
"9546","SL","LA1043","Y39","rep5",0.393939394
"9547","ST","LA1043","Y39","rep5",0.297297297
"9548","RFM","LA1043","Y39","rep5",0.118472284
"9549","SFM","LA1043","Y39","rep5",0.194326095
"9550","TFM","LA1043","Y39","rep5",0.179231333
"9551","RDM","LA1043","Y39","rep5",0.256593015
"9552","SDM","LA1043","Y39","rep5",0.249854736
"9553","TDM","LA1043","Y39","rep5",0.242227848
"9554","WC","LA1043","Y39","rep5",0.175323656
"9555","WCn","LA1043","Y39","rep5",-1.648434983
"9556","GPI","LA1043","Y39","rep5",0.794836135
"9557","GPF","LA1043","Y39","rep5",0.254089434
"9558","dGP","LA1043","Y39","rep5",0.171427206
"9559","L4FM","LA1043","Y39","rep5",0.142338073
"9560","L4DM","LA1043","Y39","rep5",0.196473552
"9561","L4A","LA1043","Y39","rep5",0.170767968
"9562","RNa","LA1043","Y39","rep5",17.32889128
"9563","RK","LA1043","Y39","rep5",0.684298411
"9564","LNa","LA1043","Y39","rep5",25.19351414
"9565","LK","LA1043","Y39","rep5",0.900300017
"9566","LeafSucculence","LA1043","Y39","rep5",0.804588835
"9567","LeafPerimeter","LA1043","Y39","rep5",0.333460588
"9568","LeafVertLength","LA1043","Y39","rep5",0.382890635
"9569","LeafHorizWidth","LA1043","Y39","rep5",0.473337645
"9570","LeafElongationFactor","LA1043","Y39","rep5",1.236280736
"9571","DG","LA1044","Y40","rep5",5
"9572","DL4","LA1044","Y40","rep5",14
"9573","DH","LA1044","Y40","rep5",11
"9574","LN","LA1044","Y40","rep5",0.666666667
"9575","RL","LA1044","Y40","rep5",NA
"9576","SL","LA1044","Y40","rep5",0.571428571
"9577","ST","LA1044","Y40","rep5",0.188118812
"9578","RFM","LA1044","Y40","rep5",0.253194048
"9579","SFM","LA1044","Y40","rep5",0.472671774
"9580","TFM","LA1044","Y40","rep5",0.425660013
"9581","RDM","LA1044","Y40","rep5",NA
"9582","SDM","LA1044","Y40","rep5",0.52769556
"9583","TDM","LA1044","Y40","rep5",0.556469298
"9584","WC","LA1044","Y40","rep5",0.417498974
"9585","WCn","LA1044","Y40","rep5",3.92994518
"9586","GPI","LA1044","Y40","rep5",1.20296749
"9587","GPF","LA1044","Y40","rep5",0.626986126
"9588","dGP","LA1044","Y40","rep5",0.424737665
"9589","L4FM","LA1044","Y40","rep5",0.663907285
"9590","L4DM","LA1044","Y40","rep5",0.580774366
"9591","L4A","LA1044","Y40","rep5",0.48591109
"9592","RNa","LA1044","Y40","rep5",30.67747596
"9593","RK","LA1044","Y40","rep5",0.822109795
"9594","LNa","LA1044","Y40","rep5",21.69954554
"9595","LK","LA1044","Y40","rep5",0.254531105
"9596","LeafSucculence","LA1044","Y40","rep5",1.381732921
"9597","LeafPerimeter","LA1044","Y40","rep5",0.600091206
"9598","LeafVertLength","LA1044","Y40","rep5",0.73107247
"9599","LeafHorizWidth","LA1044","Y40","rep5",0.891886738
"9600","LeafElongationFactor","LA1044","Y40","rep5",1.219979403
"9601","DG","LA1136","Y41","rep5",6
"9602","DL4","LA1136","Y41","rep5",17
"9603","DH","LA1136","Y41","rep5",11
"9604","LN","LA1136","Y41","rep5",0.666666667
"9605","RL","LA1136","Y41","rep5",0.841269841
"9606","SL","LA1136","Y41","rep5",0.8
"9607","ST","LA1136","Y41","rep5",0.409090909
"9608","RFM","LA1136","Y41","rep5",0.523081722
"9609","SFM","LA1136","Y41","rep5",0.2855491
"9610","TFM","LA1136","Y41","rep5",0.311104213
"9611","RDM","LA1136","Y41","rep5",0.716108453
"9612","SDM","LA1136","Y41","rep5",0.420508208
"9613","TDM","LA1136","Y41","rep5",0.44019637
"9614","WC","LA1136","Y41","rep5",0.303389167
"9615","WCn","LA1136","Y41","rep5",-21.02520389
"9616","GPI","LA1136","Y41","rep5",0.904613045
"9617","GPF","LA1136","Y41","rep5",0.376333536
"9618","dGP","LA1136","Y41","rep5",0.280027157
"9619","L4FM","LA1136","Y41","rep5",0.314531888
"9620","L4DM","LA1136","Y41","rep5",0.388349515
"9621","L4A","LA1136","Y41","rep5",0.295575746
"9622","RNa","LA1136","Y41","rep5",19.02454367
"9623","RK","LA1136","Y41","rep5",0.919541554
"9624","LNa","LA1136","Y41","rep5",19.34111089
"9625","LK","LA1136","Y41","rep5",0.327169567
"9626","LeafSucculence","LA1136","Y41","rep5",1.044410184
"9627","LeafPerimeter","LA1136","Y41","rep5",0.357109728
"9628","LeafVertLength","LA1136","Y41","rep5",0.50297222
"9629","LeafHorizWidth","LA1136","Y41","rep5",0.463550505
"9630","LeafElongationFactor","LA1136","Y41","rep5",0.921634686
